code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0780422K,LES MUREAUX,LYCEE FRANCOIS VILLON,78440,PHY.CHIMIE,118,25,54,97,56,85,80,72,86,75,304,222,61,64,84,81,81,79
0780422K,LES MUREAUX,LYCEE FRANCOIS VILLON,78440,MATHS,93,25,54,97,56,85,80,72,86,75,304,222,61,64,84,81,81,79
0780422K,LES MUREAUX,LYCEE FRANCOIS VILLON,78440,DOC LYCEES,38,25,54,97,56,85,80,72,86,75,304,222,61,64,84,81,81,79
0780515L,MAUREPAS,LYCEE LES SEPT MARES,78383,ESPAGNOL,199,34,47,47,79,98,85,87,93,91,194,168,80,69,92,87,88,89
0780515L,MAUREPAS,LYCEE LES SEPT MARES,78383,NRC,48,34,47,47,79,98,85,87,93,91,194,168,80,69,92,87,88,89
0780515L,MAUREPAS,LYCEE LES SEPT MARES,78383,ECO.GE.MK,256.2,34,47,47,79,98,85,87,93,91,194,168,80,69,92,87,88,89
0780582J,PLAISIR,LYCEE JEAN VILAR,78490,S. V. T.,230,21,47,81,86,96,90,90,95,93,238,252,77,73,88,87,92,92
0780582J,PLAISIR,LYCEE JEAN VILAR,78490,ECO.GE.FIN,144,21,47,81,86,96,90,90,95,93,238,252,77,73,88,87,92,92
0780582J,PLAISIR,LYCEE JEAN VILAR,78490,HIST. GEO.,223,21,47,81,86,96,90,90,95,93,238,252,77,73,88,87,92,92
0781297L,TRAPPES,LYCEE PLAINE DE NEAUPHLE,78621,ARTS PLAST,98,6,17,26,83,94,50,84,81,61,96,103,56,53,73,70,64,70
0781297L,TRAPPES,LYCEE PLAINE DE NEAUPHLE,78621,MATHS,111,6,17,26,83,94,50,84,81,61,96,103,56,53,73,70,64,70
0781297L,TRAPPES,LYCEE PLAINE DE NEAUPHLE,78621,ANGLAIS,118,6,17,26,83,94,50,84,81,61,96,103,56,53,73,70,64,70
0781297L,TRAPPES,LYCEE PLAINE DE NEAUPHLE,78621,EDUCATION,101,6,17,26,83,94,50,84,81,61,96,103,56,53,73,70,64,70
0781512V,MONTIGNY LE BRETONNEUX,LYCEE DESCARTES,78423,ALLEMAND,2019.2,22,60,101,91,95,97,91,96,96,261,260,83,76,94,91,96,95
